onet_soc_code,task,category,original_task_id,original_task,date,domain_source
15-1211.00,Write code to perform desired actions.,New,,,08/2023,Incumbent
15-1255.00,Optimize webpages for search engine rankings.,New,,,08/2026,Incumbent
15-1299.02,Install Geographic Information Systems (GIS) software or updates.,New,,,08/2026,Incumbent
15-1299.07,"Develop software tools, such as application programming interfaces (APIs), to integrate applications.",New,,,08/2026,Occupational Expert
15-2011.00,Develop and maintain projection models.,New,,,08/2026,Occupational Expert
15-2051.00,Interview stakeholders to identify questions or problems to address through data analysis.,New,,,08/2026,Occupational Expert
15-2099.01,Train bioinformatics staff or researchers in the use of databases or performance of laboratory tasks.,Revision,17719,Train bioinformatics staff or researchers in the use of databases.,08/2026,Incumbent
17-1012.00,Develop and facilitate community engagement campaigns and workshops to better understand the community's needs.,New,,,08/2025,Occupational Expert
17-1012.00,Prepare ecological restoration or mitigation design plans to enhance or restore habitats.,New,,,08/2025,Occupational Expert
17-1012.00,Use drone technology to survey large areas and gather accurate topographical data.,New,,,05/2025,AI/SME
17-1021.00,"Estimate resources, such as production hours, required for projects.",New,,,08/2018,Incumbent
17-1021.00,Use drone technology to capture high-resolution images and data for map creation and updating.,New,,,05/2025,AI/SME
17-1022.01,"Determine orientation of tracts of land, including position, boundaries, size, and shape, using theodolites, electronic distance-measuring equipment, satellite-based positioning equipment, drones, land information systems, or other geodetic survey equipment.",Revision,16301,"Determine orientation of tracts of land, including position, boundaries, size, and shape, using theodolites, electronic distance-measuring equipment, satellite-based positioning equipment, land information systems, or other geodetic survey equipment.",05/2025,AI/SME
17-2011.00,Develop and test autonomous systems for uncrewed aerospace vehicles.,New,,,05/2025,AI/SME
17-2021.00,Communicate results in peer-reviewed research articles or at workshops or conferences.,New,,,08/2024,Occupational Expert
17-2021.00,"Use agricultural drones for crop monitoring, irrigation management, and pest control.",New,,,05/2025,AI/SME
17-2041.00,Adapt processes to convert from small-scale laboratory operations to large-scale commercial production.,New,,,08/2025,Occupational Expert
17-2041.00,Develop process flow diagrams or pipe and instrumentation diagrams.,New,,,08/2025,Occupational Expert
17-2051.00,"Use drone technology for site surveying, inspection, and monitoring of infrastructure projects.",New,,,05/2025,AI/SME
17-2051.01,Develop plans for integration of drone technology into transportation systems for purposes such as delivery of goods or traffic monitoring.,New,,,05/2025,AI/SME
17-2111.02,Develop or modify building codes and fire codes.,New,,,08/2025,Occupational Expert
17-2111.02,"Perform testing on fire protection equipment or building features, such as fire doors or smoke control systems.",New,,,08/2025,Occupational Expert
17-2111.02,Review building plans to verify compliance with fire and building codes.,Revision,24004,Review building plans to verify compliance with fire code.,08/2025,Occupational Expert
17-2112.01,Assess systems to identify and quantify risk factors.,New,,,08/2024,Occupational Expert
17-2121.00,"Develop plans for safely drydocking vessels, including structural integrity, block loading, and stability.",New,,,08/2025,Occupational Expert
17-2141.00,Investigate equipment failures or diagnose faulty operations and recommend or perform remedial actions.,Revision,20734,Investigate equipment failures or difficulties to diagnose faulty operation and recommend remedial actions.,08/2024,Incumbent
17-2151.00,Use drone technology for aerial surveys and inspections of mining sites to enhance safety and efficiency.,New,,,05/2025,AI/SME
17-2161.00,"Recommend preventive measures to be taken in handling nuclear technology based on data obtained from operations monitoring, systematic analysis, or evaluation of test results.",Revision,5386,"Recommend preventive measures to be taken in the handling of nuclear technology, based on data obtained from operations monitoring or from evaluation of test results.",08/2024,Occupational Expert
17-2171.00,Use drone technology for aerial surveying and monitoring of drilling sites.,New,,,05/2025,AI/SME
17-2199.10,Analyze meteorological data.,New,,,07/2012,Incumbent
17-2199.10,Design electrical interconnections.,New,,,07/2012,Incumbent
17-2199.10,Design wind turbine components.,New,,,07/2012,Incumbent
17-2199.10,Estimate energy production by analyzing wind data.,New,,,07/2012,Incumbent
17-3011.00,Use drone technology to capture aerial views and topographical data for civil engineering projects.,New,,,05/2025,AI/SME
17-3013.00,Print three-dimensional (3D) parts or fixtures using 3D printing equipment to support research and development activities.,New,,,08/2026,Incumbent
17-3021.00,"Operate, test, and troubleshoot uncrewed aerial systems, commonly known as drones, to ensure optimal performance.",New,,,05/2025,AI/SME
17-3022.00,"Operate drones for site surveying and inspection, providing detailed aerial views of project sites.",New,,,05/2025,AI/SME
17-3024.00,"Program and calibrate drones for specific missions or tasks, ensuring proper functionality and performance.",New,,,05/2025,AI/SME
17-3029.01,"Operate drones for remote inspection of large or hard-to-reach structures, such as wind turbines, bridges, or tall buildings.",New,,,05/2025,AI/SME
17-3031.00,Use drone technology to capture aerial images or videos for creating detailed and accurate maps.,New,,,05/2025,AI/SME
17-3031.00,Write boundary or easement legal descriptions.,New,,,08/2026,Incumbent
19-1012.00,Test processing equipment to ensure products are produced according to specifications.,New,,,08/2025,Occupational Expert
19-1021.00,Analyze biochemical or biophysical data.,New,,,08/2020,Occupational Expert
19-1022.00,"Perform tests on water, food, and the environment to detect harmful microorganisms or to obtain information about sources of pollution, contamination, or infection and interpret the results.",Revision,15213,"Monitor and perform tests on water, food, and the environment to detect harmful microorganisms or to obtain information about sources of pollution, contamination, or infection.",08/2024,Occupational Expert
19-1023.00,"Use advanced technologies, such as GIS, remote sensing, and drone technology, for wildlife tracking, habitat mapping, and population studies.",New,,,05/2025,AI/SME
19-1029.04,Inventory and order lab supplies.,New,,,08/2025,Incumbent
19-1041.00,Teach epidemiology to students in public health programs.,New,,,08/2023,Occupational Expert
19-2011.00,Write and review scientific proposals and research papers.,Revision,20049,Review scientific proposals and research papers.,08/2024,Occupational Expert
19-2032.00,"Research or design methods of processing, forming, and firing materials to develop products, such as ceramic dental fillings, unbreakable dinner plates, and telescope lenses.",Revision,9094,"Research methods of processing, forming, and firing materials to develop such products as ceramic dental fillings, unbreakable dinner plates, and telescope lenses.",08/2024,Occupational Expert
19-2032.00,Review and select materials for products to meet product design and cost requirements.,New,,,08/2024,Occupational Expert
19-2041.03,Conduct life cycle assessments of products.,New,,,08/2021,Occupational Expert
19-2043.00,Investigate the pathway of water contaminants through organisms in a food chain.,New,,,08/2026,Occupational Expert
19-2099.01,Develop protocols and procedures for planning and executing drone-based remote sensing missions to ensure they comply with standards and requirements.,New,,,05/2025,AI/SME
19-3011.00,Construct and manage economic datasets.,New,,,08/2024,Occupational Expert
19-3011.00,Present research at seminars and conferences.,New,,,08/2024,Occupational Expert
19-3011.00,"Review documents written by others, such as referee reports.",Revision,23988,Review documents written by others.,08/2024,Occupational Expert
19-3032.00,Develop and administer surveys to employees of organizations.,New,,,08/2023,Occupational Expert
19-3032.00,Teach industrial-organizational psychology courses to undergraduate or graduate students.,New,,,08/2023,Occupational Expert
19-3034.00,Analyze schoolwide academic performance to determine students' needs.,New,,,08/2026,Occupational Expert
19-3034.00,Supervise and instruct students on internship assignments.,New,,,08/2026,Occupational Expert
19-3039.03,Provide feedback to patients and their families on the results of neuropsychological evaluations and recommendations.,New,,,08/2024,Occupational Expert
19-3041.00,Mentor sociology students.,New,,,08/2023,Occupational Expert
19-3041.00,Review sociological research and articles.,New,,,08/2023,Occupational Expert
19-3091.00,"Write, present, and publish research findings for a variety of specialized and general audiences.",Revision,22234,Write about and present research findings for a variety of specialized and general audiences.,08/2024,Occupational Expert
19-4012.01,Operate drone technology to capture aerial imagery and data for crop monitoring and analysis.,New,,,05/2025,AI/SME
19-4051.02,"Calibrate, maintain, and repair chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.",Revision,7608,"Calibrate and maintain chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.",07/2014,Incumbent
19-4051.02,Document results from radiation and contamination surveys.,New,,,07/2014,Incumbent
