onet_soc_code,occupation_title,task_id,task,task_category,importance,n_subtasks_scored,automation_feasibility_today,llm_exposure,physical_embodiment_required,interpersonal_demand,judgment_under_uncertainty,accountability_requirement,error_cost,dominant_verdict
11-3021.00,Computer and Information Systems Managers,966,"Manage backup, security and user help systems.",Supplemental,80.0,1,30.0,85.0,10.0,40.0,60.0,55.0,60.0,augmentable
11-3021.00,Computer and Information Systems Managers,967,"Consult with users, management, vendors, and technicians to assess computing needs and system requirements.",Core,71.0,1,25.0,60.0,25.0,72.0,50.0,55.0,50.0,augmentable
11-3021.00,Computer and Information Systems Managers,968,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",Core,78.0,3,24.3,72.7,9.7,58.3,67.7,68.3,53.3,human_anchored
11-3021.00,Computer and Information Systems Managers,969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Core,76.0,1,18.0,62.0,10.0,75.0,72.0,85.0,55.0,human_anchored
11-3021.00,Computer and Information Systems Managers,970,Stay abreast of advances in technology.,Core,72.0,1,25.0,85.0,10.0,20.0,45.0,40.0,35.0,augmentable
11-3021.00,Computer and Information Systems Managers,971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Core,74.0,1,30.0,85.0,10.0,40.0,60.0,55.0,60.0,augmentable
11-3021.00,Computer and Information Systems Managers,972,Review and approve all systems charts and programs prior to their implementation.,Core,67.0,2,29.0,77.5,15.0,22.5,58.5,57.5,55.0,augmentable
11-3021.00,Computer and Information Systems Managers,973,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.",Core,68.0,2,25.0,75.0,12.5,47.5,65.0,50.0,47.5,augmentable
11-3021.00,Computer and Information Systems Managers,974,Control operational budget and expenditures.,Core,63.0,1,20.0,70.0,5.0,55.0,65.0,80.0,60.0,augmentable
11-3021.00,Computer and Information Systems Managers,975,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",Core,78.0,3,16.0,48.3,18.3,83.0,56.7,58.3,46.7,resistant
11-3021.00,Computer and Information Systems Managers,976,"Develop and interpret organizational goals, policies, and procedures.",Core,68.0,3,19.0,76.7,5.7,60.0,75.0,76.7,61.0,augmentable
11-3021.00,Computer and Information Systems Managers,977,"Recruit, hire, train and supervise staff, or participate in staffing decisions.",Core,72.0,3,33.7,64.3,16.0,64.0,48.3,55.0,39.3,augmentable
11-3021.00,Computer and Information Systems Managers,978,Review project plans to plan and coordinate project activity.,Core,77.0,1,25.0,68.0,25.0,60.0,60.0,60.0,55.0,augmentable
11-3021.00,Computer and Information Systems Managers,979,Evaluate data processing proposals to assess project feasibility and requirements.,Core,65.0,1,40.0,85.0,5.0,20.0,65.0,55.0,60.0,augmentable
11-3021.00,Computer and Information Systems Managers,980,Prepare and review operational reports or project progress reports.,Core,66.0,1,68.0,88.0,5.0,14.0,30.0,30.0,28.0,largely_automatable
11-3021.00,Computer and Information Systems Managers,981,Purchase necessary equipment.,Core,60.0,1,45.0,75.0,10.0,35.0,45.0,50.0,40.0,augmentable
11-3021.00,Computer and Information Systems Managers,15198,Provide users with technical support for computer problems.,Core,75.0,1,55.0,90.0,15.0,45.0,40.0,25.0,30.0,largely_automatable
11-9041.00,Architectural and Engineering Managers,1060,"Confer with management, production, or marketing staff to discuss project specifications or procedures.",Core,60.0,1,15.0,45.0,20.0,85.0,45.0,40.0,30.0,resistant
11-9041.00,Architectural and Engineering Managers,1063,"Plan or direct the installation, testing, operation, maintenance, or repair of facilities or equipment.",Supplemental,57.0,1,22.0,52.0,58.0,55.0,50.0,65.0,60.0,resistant
