onet_soc_code,title,susceptibility_mean,susceptibility_sd,susceptibility_p05,susceptibility_p95,exposure_p05,exposure_p95,quadrant_published,quadrant_holds,handoff_published,handoff_holds
15-2051.01,Business Intelligence Analysts,78.85,0.86,77.3,80.3,79.5,84.9,Displaceable,1.0,Crossing now,0.5525
15-1299.02,Geographic Information Systems Technologists and Technicians,78.66,0.61,77.7,79.7,80.7,84.3,Displaceable,1.0,Crossing now,0.5725
15-2051.00,Data Scientists,77.08,0.55,76.2,78.0,80.9,84.2,Displaceable,1.0,Crossing now,0.9975
15-2021.00,Mathematicians,77.16,0.73,76.1,78.4,80.8,85.2,Displaceable,1.0,Crossing now,0.94
15-1242.00,Database Administrators,76.41,0.5,75.5,77.2,77.3,80.3,Displaceable,1.0,Crossing now,1.0
15-1299.03,Document Management Specialists,77.12,0.59,76.1,78.0,79.8,83.3,Displaceable,1.0,Crossing now,1.0
15-1243.01,Data Warehousing Specialists,75.63,0.64,74.6,76.7,78.7,82.7,Displaceable,1.0,Crossing now,1.0
15-1243.00,Database Architects,75.36,0.53,74.4,76.2,76.8,80.2,Displaceable,1.0,Crossing now,1.0
15-1255.00,Web and Digital Interface Designers,75.83,0.55,74.9,76.7,78.3,81.7,Displaceable,1.0,Crossing now,1.0
15-2041.01,Biostatisticians,75.51,0.5,74.6,76.3,79.6,82.7,Displaceable,1.0,Crossing now,1.0
15-1211.01,Health Informatics Specialists,73.98,0.6,73.0,75.0,78.4,82.1,Displaceable,1.0,Crossing now,1.0
15-2051.02,Clinical Data Managers,74.89,0.54,74.1,75.8,77.7,80.9,Displaceable,1.0,Crossing now,1.0
15-2099.01,Bioinformatics Technicians,74.58,0.75,73.3,75.8,74.9,79.4,Displaceable,1.0,Crossing now,1.0
15-1211.00,Computer Systems Analysts,73.63,0.48,72.9,74.4,77.1,80.0,Displaceable,1.0,Crossing now,1.0
15-1251.00,Computer Programmers,74.22,0.64,73.1,75.3,74.8,78.7,Displaceable,1.0,Crossing now,1.0
15-1254.00,Web Developers,74.8,0.54,73.9,75.6,75.5,78.8,Displaceable,1.0,Crossing now,1.0
15-2041.00,Statisticians,74.4,0.6,73.4,75.4,77.6,81.2,Displaceable,1.0,Crossing now,1.0
15-1255.01,Video Game Designers,73.1,0.82,71.6,74.4,73.0,77.8,Displaceable,1.0,Crossing now,0.9975
15-1253.00,Software Quality Assurance Analysts and Testers,73.65,0.55,72.7,74.5,72.8,76.2,Displaceable,1.0,Crossing now,0.9975
15-1299.01,Web Administrators,72.46,0.43,71.7,73.1,74.0,76.6,Displaceable,1.0,Crossing now,1.0
15-1299.04,Penetration Testers,70.97,0.58,70.0,71.9,74.4,77.9,Displaceable,1.0,Crossing now,0.9875
15-2031.00,Operations Research Analysts,71.98,0.59,71.0,72.9,75.2,78.9,Displaceable,1.0,Crossing now,1.0
19-1029.01,Bioinformatics Scientists,68.48,0.98,66.9,70.1,71.5,77.7,Displaceable,1.0,Crossing now,1.0
15-1299.07,Blockchain Engineers,70.54,0.6,69.5,71.5,72.6,76.4,Displaceable,1.0,Crossing now,0.9975
19-3094.00,Political Scientists,69.69,0.59,68.6,70.7,75.6,79.4,Displaceable,1.0,Crossing now,0.995
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",70.32,0.44,69.6,71.1,70.3,73.0,Displaceable,1.0,Crossing now,1.0
15-1299.06,Digital Forensics Analysts,68.7,0.6,67.6,69.7,70.5,74.1,Displaceable,1.0,Crossing now,0.9075
15-1299.08,Computer Systems Engineers/Architects,69.83,0.42,69.1,70.5,72.4,75.1,Displaceable,1.0,Crossing now,1.0
19-2041.01,Climate Change Policy Analysts,69.63,0.64,68.6,70.6,74.8,78.8,Displaceable,1.0,Crossing now,0.8825
15-1252.00,Software Developers,69.78,0.61,68.7,70.7,71.2,75.1,Displaceable,1.0,Crossing now,0.995
