soc_code,soc_title,total_employment,annual_mean_wage,susceptibility,exposure,anchoring,quadrant,protected_by
29-1141,Registered Nurses,3379720.0,101420.0,49.9,59.9,60.0,Human-anchored,Capability - AI cannot do much of it
15-1252,Software Developers,1687890.0,148100.0,69.3,75.6,37.0,Displaceable,Unprotected - exposed and lightly anchored
15-1232,Computer User Support Specialists,717190.0,67330.0,69.1,70.6,32.3,Displaceable,Unprotected - exposed and lightly anchored
11-3021,Computer and Information Systems Managers,670570.0,192160.0,65.9,74.4,42.6,Displaceable,Unprotected - exposed and lightly anchored
29-2061,Licensed Practical and Licensed Vocational Nurses,648410.0,67050.0,44.5,43.6,54.7,Human-anchored,Capability - AI cannot do much of it
11-9111,Medical and Health Services Managers,597080.0,140970.0,61.8,66.9,43.3,Displaceable,Unprotected - exposed and lightly anchored
15-1211,Computer Systems Analysts,519530.0,114610.0,74.0,82.7,34.9,Displaceable,Unprotected - exposed and lightly anchored
29-2052,Pharmacy Technicians,471680.0,46620.0,58.2,55.5,39.0,Insulated,Neither - simply less exposed
15-1299,"Computer Occupations, All Other",435370.0,122230.0,71.6,78.7,35.4,Displaceable,Unprotected - exposed and lightly anchored
17-2051,Civil Engineers,367840.0,108670.0,59.3,65.1,46.6,Contested,"Accountability - AI could, a human must answer"
17-2112,Industrial Engineers,365740.0,109900.0,63.2,68.8,42.4,Displaceable,Unprotected - exposed and lightly anchored
29-1229,"Physicians, All Other",342720.0,262040.0,53.6,66.1,58.8,Contested,"Accountability - AI could, a human must answer"
29-2010,Clinical Laboratory Technologists and Technicians,332940.0,67350.0,45.4,40.4,49.6,Human-anchored,Capability - AI cannot do much of it
29-1171,Nurse Practitioners,323040.0,137300.0,54.3,66.9,58.3,Contested,"Accountability - AI could, a human must answer"
29-1051,Pharmacists,321970.0,140920.0,56.6,63.2,50.0,Human-anchored,Capability - AI cannot do much of it
15-1244,Network and Computer Systems Administrators,314340.0,103680.0,69.0,73.0,35.1,Displaceable,Unprotected - exposed and lightly anchored
17-2141,Mechanical Engineers,296810.0,113610.0,61.9,66.7,43.0,Displaceable,Unprotected - exposed and lightly anchored
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",284800.0,119730.0,71.0,76.3,34.2,Displaceable,Unprotected - exposed and lightly anchored
29-1123,Physical Therapists,267330.0,105280.0,53.5,64.0,56.9,Human-anchored,Capability - AI cannot do much of it
15-2051,Data Scientists,262440.0,126800.0,77.1,84.0,29.7,Displaceable,Unprotected - exposed and lightly anchored
29-2034,Radiologic Technologists and Technicians,230490.0,83840.0,46.6,47.9,54.7,Human-anchored,Capability - AI cannot do much of it
29-1292,Dental Hygienists,222740.0,98990.0,45.3,46.5,55.8,Human-anchored,Capability - AI cannot do much of it
25-1071,"Health Specialties Teachers, Postsecondary",221270.0,147570.0,67.6,74.7,39.6,Displaceable,Unprotected - exposed and lightly anchored
11-9041,Architectural and Engineering Managers,220260.0,181540.0,57.5,62.4,47.4,Contested,Capability - AI cannot do much of it
17-2071,Electrical Engineers,198750.0,125100.0,57.9,60.0,44.2,Human-anchored,Capability - AI cannot do much of it
29-2072,Medical Records Specialists,194720.0,56790.0,68.0,74.5,38.6,Displaceable,Unprotected - exposed and lightly anchored
15-1212,Information Security Analysts,190650.0,132510.0,71.2,79.3,37.0,Displaceable,Unprotected - exposed and lightly anchored
15-1253,Software Quality Assurance Analysts and Testers,186740.0,111490.0,74.6,78.6,29.5,Displaceable,Unprotected - exposed and lightly anchored
29-1127,Speech-Language Pathologists,183390.0,98170.0,52.5,64.1,59.1,Human-anchored,Capability - AI cannot do much of it
29-2099,"Health Technologists and Technicians, All Other",182610.0,58710.0,52.4,54.8,50.0,Human-anchored,Capability - AI cannot do much of it
29-2042,Emergency Medical Technicians,180510.0,46830.0,41.0,43.4,61.4,Human-anchored,Capability - AI cannot do much of it
