onet_soc_code,title,stem_occupation_types,field,job_zone,total_employment,employment_share,n_tasks,scenario,efficiency,removal_risk,risk_at_stake,reconstitution,training_depth,depth_source,scarcity,isolation,octant,severity,severity_label,trap_score,erosion_risk,willingness_gap
29-1217.00,Neurologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,10590.0,10590.0,24,extreme,81.3,80.0,79.6,79.3,91.6,education,69.0,64.2,Strategic trap,3,Critical,51.6,27.6,45.8
29-1223.00,Psychiatrists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,27980.0,27980.0,12,extreme,83.6,76.3,76.1,77.1,92.0,education,57.3,69.5,Strategic trap,3,Critical,49.2,32.5,47.1
29-9092.00,Genetic Counselors,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,3740.0,3740.0,19,extreme,94.0,74.1,73.9,70.0,62.6,education,81.4,71.5,Strategic trap,3,Critical,48.8,36.1,50.9
29-1218.00,Obstetricians and Gynecologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,21260.0,21260.0,15,extreme,75.1,79.9,77.1,79.7,95.7,education,60.6,68.4,Strategic trap,3,Critical,47.8,20.3,41.8
29-1214.00,Emergency Medicine Physicians,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,32880.0,32880.0,17,extreme,72.5,84.1,82.1,77.5,93.9,education,55.4,69.5,Strategic trap,3,Critical,47.3,20.6,41.8
29-1222.00,"Physicians, Pathologists","Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,11110.0,11110.0,19,extreme,76.5,74.3,74.2,82.2,92.6,education,68.4,77.0,Strategic trap,3,Critical,46.7,16.2,32.6
29-1216.00,General Internal Medicine Physicians,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,67150.0,67150.0,19,extreme,76.7,80.5,79.9,74.2,92.8,education,46.9,68.5,Strategic trap,3,Critical,45.8,23.6,45.7
29-1221.00,"Pediatricians, General","Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,39390.0,39390.0,17,extreme,74.8,77.3,75.5,78.2,96.6,education,53.2,69.8,Strategic trap,3,Critical,45.2,19.0,44.3
29-1243.00,Pediatric Surgeons,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,1190.0,1190.0,18,extreme,61.1,79.6,77.6,92.5,100.0,job_zone,95.1,69.7,Strategic trap,3,Critical,45.0,11.2,33.7
15-2011.00,Actuaries,"Research, Development, Design, and Practitioners",Computer and Mathematical,4,26670.0,26670.0,15,extreme,95.7,65.1,64.1,71.3,75.0,job_zone,57.9,82.3,Strategic trap,3,Critical,44.4,31.7,45.6
29-1224.00,Radiologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,26770.0,26770.0,30,extreme,76.5,77.4,76.5,74.9,85.7,education,57.9,73.2,Strategic trap,3,Critical,44.3,24.3,38.7
29-1229.05,Preventive Medicine Physicians,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,342720.0,57120.0,15,extreme,89.1,67.8,66.2,71.7,96.0,education,27.4,77.4,Strategic trap,3,Critical,43.3,27.6,46.6
29-1129.01,Art Therapists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,22640.0,11320.0,25,extreme,78.1,66.1,66.6,83.7,100.0,job_zone,59.9,78.7,Strategic trap,3,Critical,43.2,19.8,39.6
29-1215.00,Family Medicine Physicians,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,107510.0,107510.0,12,extreme,82.4,76.1,75.1,68.8,85.8,education,41.2,67.9,Strategic trap,3,Critical,43.1,28.8,44.9
29-1229.02,Hospitalists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,342720.0,57120.0,14,extreme,82.8,76.9,76.6,67.3,89.8,education,27.4,71.0,Strategic trap,3,Critical,42.9,32.9,49.8
29-1213.00,Dermatologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,11370.0,11370.0,18,extreme,69.7,80.1,76.2,75.9,84.4,education,68.1,66.4,Strategic trap,3,Critical,42.4,23.6,47.8
29-1241.00,"Ophthalmologists, Except Pediatric","Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,8950.0,8950.0,18,extreme,70.2,80.2,78.8,74.2,79.6,education,71.0,65.7,Strategic trap,3,Critical,41.8,20.3,41.4
29-1229.06,Sports Medicine Physicians,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,342720.0,57120.0,27,extreme,85.2,71.8,70.2,68.2,92.2,education,27.4,69.4,Strategic trap,3,Critical,41.7,23.7,45.0
29-1181.00,Audiologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,13660.0,13660.0,22,extreme,73.7,72.9,72.9,76.8,85.3,education,65.9,71.9,Strategic trap,3,Critical,41.3,17.9,40.0
29-1212.00,Cardiologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,17290.0,17290.0,25,extreme,62.0,79.0,76.9,83.0,100.0,job_zone,63.1,70.2,Strategic trap,3,Critical,40.7,13.2,35.2
29-1229.01,Allergists and Immunologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,342720.0,57120.0,16,extreme,80.6,80.3,79.8,62.7,81.7,education,27.4,68.0,Strategic trap,3,Critical,40.6,31.6,51.0
29-1299.02,Orthoptists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,28630.0,14315.0,16,extreme,66.0,75.7,78.1,81.0,100.0,job_zone,57.1,69.3,Strategic trap,3,Critical,40.5,18.9,38.3
29-1081.00,Podiatrists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,9680.0,9680.0,11,extreme,65.7,76.4,74.0,79.5,88.1,education,70.0,72.0,Strategic trap,3,Critical,39.9,13.6,38.2
19-1041.00,Epidemiologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,12090.0,12090.0,16,extreme,88.8,61.0,59.4,72.6,72.6,education,67.4,80.4,Strategic trap,3,Critical,39.3,22.5,45.3
19-3041.00,Sociologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,2260.0,2260.0,15,extreme,97.1,50.5,50.1,79.1,75.4,education,87.4,76.1,Strategic trap,3,Critical,38.8,22.2,45.0
19-3094.00,Political Scientists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,5540.0,5540.0,14,extreme,97.0,49.7,49.4,79.9,83.4,education,76.7,76.0,Guard the pipeline,2,High,38.5,29.6,50.3
